"Species","MeanDensity","MedianDensity","MinDensity","MaxDensity"
"Goitered gazelle",27.1712702993018,3.06620144844055,0,33526.62890625
"Saiga antelope",2.97314959990041,1.27628648281097,0,121.447875976562
"Mongolian gazelle",0.951193516338057,0.258683234453201,0,2290.96069335938
"Himalayan tahr",69.1879025465813,31.1934146881104,0.00124803278595209,1820.68530273438
"Chinkara",192.949010300832,75.6335830688477,0,57831.890625
"Markhor",92.6714116048171,34.4835357666016,2.5930027961731,1250.56872558594
"Urial",56.5601866063973,13.1583604812622,0,11329.0205078125
"Bharal",15.0762065204653,1.09613788127899,0,23368.076171875
"Tibetan gazelle",8.0280616611723,0.646140873432159,0,16225.0869140625
"Chiru",1.06360678940792,0.0594076067209244,0,675.932861328125
